리뷰,리뷰길이,예측평점
등심에 부드럽고 전 에어프라이에 190도에 15분 돌리니깐 바삭하게 맛있네요 재구매 하려고요,51,5
맛은 조금 아쉽네요,10,3
세일할때 사둡니당,9,5
할인하면 종종 주문하는데 가끔 안익은것도 있나봐요,27,4
맛있고 편리해요 재구매 했습니다,17,5
진짜 맛있어요 두툼하니 바삭하니 재구매 의사있습니댜,28,5
맛있어요 세일때 저렴하게 샀는데 만족입니다,23,5
컬리 돈까스는 사랑입니다,13,4
후기읽고 구매했어요,10,4
몇번째 재재구매입니다 맛있고 좋아요 가성비,23,5
괜찮은 상품인거 같아요,12,4
맛있게 잘 먹었습니다,11,5
종종 사먹어요 는 실패가 없어요 비앤나빼곤 다 맛있어요,30,5
음 그냥저냥 먹을만하긴했지만 뭔가 아쉬운 식감,25,3
할인할때 냉동고에 쟁여두기 넘넘 좋아요,21,5
에어프라이기에 간단히 돌리면 되서 너무 좋아요 자주 시켜요,32,5
에어프라이기 돌렸을때 제일 맛있는 돈까스 예요,25,5
친구추천으로 사봤다가 계속 구매중이에요 고기두께도 얇지않고 냄새없고 근데 조리후 튀김옷이랑 고기 사이부분이 들떠서 물컹거리는 식감이 좀 있어요,79,4
처음 사보는데 맛있었음 좋겠어요,17,5
양도 좋고 맛도 좋아요 강추합니다,18,5
쏘쏘 아직도 반이나 남았어요 분발해주시길,22,4
잘도착했어요잘먹겠습니다,12,5
돈가스 맛은 도톰하고 부드러워서 좋았음,21,3
이거 넘괜찮아요 재주문했어요 고기도 두툼하고 맛있어요,29,5
넘넘 맛있어요 근데 에어프라이어에 좀 더 구워야 할듯,29,4
에어프라이어용이라 구입했어요,15,5
간편해서 자주 구입 두껍고 맛남,17,4
반찬으로 먹다가 요즘엔 맥주안주로도 먹어요 에어후라이기에 조리하기 딱입니다,41,5
맛있어요 가끔 시키는데 크기도 좋아요,20,5
급할때 에어프라이 조리로 한끼 맛있게 해결되네요 비빔면과 같이 먹으니 꿀맛입니다,44,5
남편이 좋아해서 샀어요,12,5
매번 구입하는 제품입니다 근데 가끔 고기 색깔이 많이 어두워서 이상한 경우가 있는데 이런 경우 고기도 질기더군요 먹기에도 좋지 않아 그냥 버렸 습니다 사진을 찍었으면 좋았는데 찍지 못했네요,105,3
통등심돈까스 값도 저렴해서 냉동실에 쌓아놓고 한덩이씩 구워서 먹으니 담백하고 맛있어요,47,5
돈까스 중에 최고의 밥 반찬입니다,18,5
아이가 너무좋아해서 두봉지나 쟁여두려고 주문했어요 아이도 좋아하지만 어른이먹어도 너무맛있어요,51,5
저녁반찬없을때 에어후라이로 해줬어요생각보다 기름이 많이 나와서 좀뺀 후에 주었네요사이즈는 커서 한덩이로 충분합니다밥이랑 먹으면요,71,5
튀김옷만 두꺼운 돈까스들 많은데 이건 맛있어요 고기도 두툼합니다,35,4
바삭바삭 식감도 좋고 통등심이라 너무 맛있습니다 진짜 찐입니다,34,5
에프용이라 편해요가성비 좋아요,16,5
쪼금느끼하지만 맛있음,11,4
돈까스 크기가 커요 나눠서 포장했는데 한번에 한개씩 먹어도 충분해요,37,4
반찬없을때 먹음 굿,10,5
냉동실에 늘 들어있는 제품이에요 에프에 돌리면 간편하고 맛있게 먹을수 있어서 좋아요,46,5
맛있고 에어프라이기에 돌리면 되서 좋았던것같고저녁에 가족들이랑 먹기도 좋아서 괜찮았어요,48,5
180도 15분 했더니 안에핑크핑크고기가 5분 더 돌렸어요,32,2
너무 불편해요 에프돌리면 속이 하나도 안익어있어 다시튀겨먹어야 하는거나 똑같아요 꼭자르고 속확인해야해요 고기도 좀 얇고 가성비만 좋아요,75,2
항상 냉장고에 쟁여놓아요 두툼하고 맛있어요,23,5
지인 추천으로 주문해봤는데 넘 맛있어요,21,5
분할해서 보관하면 좋음,12,4
돈까스 맛있어요 몇번째 재구매,16,5
가성비 좋고 맛있어요,11,5
조리하기 간편하고 좋아요 맛도 좋네요 저렴하게 잘샀어요,30,5
맛있어서 자주 구매하는 돈까스에요,18,5
조아여맘에듭니다 굳,10,5
에프용 돈가스라길래 구입,13,4
편하고 맛있어서 구매합니다,14,5
에어후라이에 그대로 구우면 기름기 흐르는 돈까츠상태가 된다 바삭한 식감의 튀김 옷은 좋는데 고기 두께가 얇은게 좀 단점,66,2
맛있어서 추가 구입했어요 추천 합니당,20,5
한번 맛보고 맛나서 추가 구입했요,18,5
늘 냉동실에 쟁여놓고 하나씩 에프에,19,5
에어프라이기에 돌려서 먹으면 바삭하고 맛있어요,25,5
가격대비 양도많고 좋아요,13,5
냉동 돈가스로 나름 재미있게 한끼를 먹었어요 생각보다 퀄리티 좋네요,37,5
가끔 돈가스 바삭하고 좋음,14,3
편하고 맛도 좋아요,10,5
매번 시켜먹고 있어요 양도 많고 너무 맛있습니다,26,5
요리 편리하고 맛도 최고입니다,16,5
쟁여템 냉동고에 있그면 든든랍니다,18,5
맛있어서 재구매 진짜 에프용으로 바싹 와사삭,24,5
먹기편하고 맛있엉,9,5
약간 기름이 안좋은지 먹고 나니 알러지가 올라옴,26,2
후기가 너무 좋아서 구매했어요 간단한 요리나 반찬으로 먹기 딱 좋을 것 같아요,43,5
우리 집 냉장고 속 보험,13,4
돈까스가 두툼하고 연하네요 너무 맛있게 잘 먹었습니다,29,5
첫 주문요 맛 좋아요,11,5
왜 평이 좋은지 모르겠네요 식감도 맛도 기대이하에요 재구매는 안할 듯 컬리냉동식품과는 좋은기억이 별로 없네요 냉동의 한계인지도 모르겠어요,76,2
그럭저럭 먹을만해서 재구매했어요,17,4
에어에 굽는거라 간편해서 좋아요,17,4
간편해서 좋아요 아이들이 맛있다고 해요,21,5
두끼정도 간단하게 데코도 하고 특별하게 즐길수 있어서 좋아요,33,5
맛있네요 감사합니다,10,5
간편하게 조리해서 먹기 좋아요,16,5
냄새는 안나는데 좀 기름지고 평범한 돈까스,23,2
돈가스 잘 받았습니다,11,4
통등심 돈까스 맛있어서 재구매했어요,19,5
통등심 돈까스 맛있어요,12,4
한끼 먹기는 좋은거 같습니다,15,4
통등심 돈까스 맛있어요,12,4
바삭하고 맛나요 크기도 적당하네요,18,5
상태 좋아요 만족합니다,12,5
에프용이라 조리가 편하고 통등심이라 좋아요,23,5
맛있어요 두번째 구입인데 또 주문 하려구요,23,5
에프에 돌려먹으면 너무좋아요 추천해요,20,5
항인해서 구매했엉,9,4
맛있어요 재구매입니다,11,5
에프에 구우니 간편히 식사하고 괜찮아요,21,5
간단하게 먹기 좋아요,11,5
후기가 좋아서 구매했어요 기대해요 맛있을거 같아요 아이들이 조아햐오,37,5
맛있어요 또 구매하러 올께요,15,5
부위가 다른듯맛있어요 부드러운것도있고 퍽퍽한것도 있고,29,4
에어프라이에 간단하게 빨리 먹을수 있어서 좋고 가성비짱이네요 맛도 좋아요,40,5
가성비 좋아서 쟁야좋아서 아이템이예요,20,5
양도 맛도 가격대비 넘넘 좋네요 간편해요,22,5
에어프라이어로 먹으면 맛있어요,16,5
가성비 괜찮은듯 재구매의사 잇음,17,4
에어프라이어용 돈까스 좋아요 맘에 들어요,22,5
부드럽고 포삭해요 맛있네요,14,5
돈꺼스 크기도 크고 맛이 최고,16,4
세번째 주문인것 같아요 담백하고 노말하고 맛나요 애들이잘 먹네요,35,5
재구매입니다 간편해요,11,5
간단히 해먹기 좋고 맛도 있음,16,5
에어프라이어로 구워 먹었는데 그냥그냥 먹을만 한 정도에요,31,3
에프에 돌려 먹으니 바삭바삭 맛있어용,20,5
에어프라이에 돌려 먹기편해요,15,4
우리집 냉동고 필수품,11,5
할인가로 2개 구매했어요 쟁여놓구 두고두고 먹으려구요,29,5
통등심돈까스 365너무 맛있어요,17,5
오홋 맛있어요 타 브랜드보다 가격도 저렴하고 기름은 조금 있지만 겉바속촉 맛나요,44,5
돈가스 맛있어요 돈가스소스 뿌려먹으니 딱이에요,25,5
잡내없고 에프에 돌리기만 하면 되서 좋아요,23,5
매우 만족스러운 돈까스,12,5
기름 필요없이 에어후리이어에 돌리기만 하면되니 간편해서 좋아요 돈까스 양도 많고 맛있어요,49,5
맛도 좋고 가성비 좋아서 자주 구매해요,21,5
맛있어요 두껍진않지만 가성비로 먹기 좋아요,23,4
돈까스 맛있어용 에프에 굽기 좋아요,19,5
늘구매하는 상품입니다 배송도 빠르고 품질도 좋아 매우 만족합니다,35,5
돈까스 먹고 싶을때 딱이에여,15,5
진짜맛있었요두개에프에구워서먹었어요 통통하니좋네요,26,5
종종 구입하는 돈까스 에프기 돌리면 기름에 튀긴거 못지않게 바삭하고 통등심이라 속도 알차요,50,5
에어후라이에 돌리니 바삭하고 맛있네요,20,5
평이 좋아서 구입했는데 맛있으면 좋겠네요,22,5
다섯장 들어있는데 크기가 크더라고요 맛도 있고요,26,5
맛있어여 자주먹는 돈가스,13,5
맛은 평범한거 같아요 가성비로 괜찮아요,21,3
할인받아 샀어요 좋아요,12,5
재구매에요 두툼하고 에어프라이어용이라 간편해요,25,5
도톰하고 가성비좋은 돈까스 에프에 돌림 짱,23,5
냉동실에 늘 챙겨두고있어요 맛도좋고 간편하고 가성비 최고,31,5
크기도 적당하고 에어프라이로 바삭하게 구우면 맛나요 바삭하게 굽기 위해서는 반드시 앞뒤로 뒤집으며 구워 주세요,61,4
세일할때 쟁겨둬요 냄새도안나고 맛나요,20,5
가성비도 좋고 맛있어서 자주 구매합니다,21,5
맛있습니다,5,5
두껍고 맛있네요 재주문할거 같아요,18,5
한장 에프에돌려 바삭하고 맛있게 먹었어요 잡내도 안나고 고기가 부드럽더라구요 지금껏 먹어본 냉동돈까스중에 최고다하고 한장 더 구워서 먹으려고 잘랐는데 왠생고기가 다섯장중 한장을 버려버렸네요 이게아쉬운부분,113,5
아이가 잘 먹어요,9,5
아 이거 하나 더 살걸 싶네요 아주 좋네요맛나요,26,5
아이들해주면 등심돈까스 잘먹어요 저는 치아가 부실해 질긴 느낌이 있어 안심돈까스도 있으면 좋겠습니다 아이들용으로 구매합니다,68,5
잘먹었습니다,6,4
아직 먹어보지 못했지만 좋은가격에잘구매했습니다,25,5
후기좋은물건 할인해서 잘샀어염,16,5
저렴하니 맛있어요,9,5
일반 프라이팬에 구워도 잘 익고 두툼해서 좋아요,26,5
아이들이 좋아해서 자주 구매합니다 제 입맛에도 굿입니다,30,5
에어프라이기 용 통등심 돈까스 간편해서 좋아요 맛도 좋네요,32,5
카츠가 조금 얇지만 저렴합니다,16,4
고기는 좀얇고 에프로했을때 기름이좀나오네요,23,4
돈까스 에어프라이기에 구워먹으면 너무 맛있어요,25,5
세일에 쟁이는게 이득입니다,14,4
맛있어요 재구매 예정,11,5
소스 사서 같이 먹으면 맛있어요,17,5
5장이라서 양도 넉넉하고 에어프라이기에 돌리면 편해요,29,5
돈까스 맛있습니다 도시락 반찬으로도 좋고,22,5
다먹으면 또구매해서 냉동실에 넣어두고먹는 메뉴중하나입니다,31,5
한돈 통등심 돈까스라 맛있어요 꾸준히 시켜먹고있어요,28,5
후기 및 가성비가 좋길래 구매했습니다 에프돌리니 바삭하고 맛있어요,36,5
튀김옷 분리가 좀 되긴하는데 맛있어요,20,4
에어후라이어에 돌려 먹으니 괜찮아요,19,4
가성비최고인 쟁여템,10,5
2번째구매 후라이팬에구우니바삭하지않아서 이번엔에어프라이에구워볼려구요,37,5
자주 구입하는 상품이에요,13,5
돈가스는 이게 짱인 듯 바싹하니 맛나요,21,4
에어프리이에 돌려 맛있게 먹었어요,18,5
에프에 편하게 구워 맛있게 먹었어요,19,5
항상 채우는 제품 간단히에프에 기름빼서 먹음 맛있어요,29,5
생각보다 크네요냉동 쟁여템,14,5
에어프라이어에 앞뒤로 15분 정도 걸리네요 간편히 먹기 좋아요,34,5
에프에 돌려먹으니 바삭하고 고기도 기대보다 도톰하고 부드러워요 재구매 의사있어요,44,5
평이 좋아서 시켜봐요,11,4
간편하게 잘 먹었어요 근데 에어프라이어로 하니까 약간 무른듯이 튀겨지더라구요 식감이 약간 물컹한 부분들이 있었어요,63,4
에어프라이어에 돌려서 간편하게 반찬으로 먹기에 좋고 맛있어요,33,5
할인해서 쟁여두고 잘 먹고 있습니다,19,5
돈까스 바삭하고 좋아요,12,5
에프에 돌리면 기름이 더 빠지고 겉바속촉 맛있는 돈까스가 되요 돈까스요리용으로 쓰면 간편하게 요리 만들수 있어서 좋아요,66,5
베스트라고 해서 시켰는데 진짜 바삭거려요 실패없는 컬리 베스트템,35,5
요즘 컬리 구매하는 재미에 빠졌어요믿고 구매햇습니다,28,5
재재재구매중입니다 맛있어요,14,5
재재재구매중입니다 아이들 반찬 고민될 때 컬리 돈가스 단골 반찬이에요 비조리 돈가스는 기름 듬뿍 넣어도 태우기 일쑤 였는데 에프만 돌려도 되니 좋아요,83,5
아직 먹어보진 못했지만 맛있기를,17,4
카레돈까스 해먹으니까 맛있어요,16,5
에어후라이어에 간편하게 애들이 좋아합니다,22,5
여러번 재구매해요 시중 다른 제품보다 더 맛있어요,27,5
고메돈까스만 먹었는데 여기것도 맛있네효 근데 싸이즌 살짝 작아효,35,5
맛잇어서 재구매합니다,11,5
재재구매 돈까스 쭈욱 에어프라이기 전용 돈까스용 으로 딱입니다 고기도 두툼 하고 육질도 부트럽고 비상용으로 냉동실에 구비 해 놨다가 반찬 없거나 시간 빠듯한 식사준비에 정말 필요한 식품입니다 맛도 좋아요,113,5
조리가 간편해서 좋아요,12,5
남편 도시락반찬용 입니다,13,5
냉동돈까스 퀄 아님니다 생돈까스도 이렇게 맛있을까요 오븐에 돌려서 먹었는대 기름빠지고 빠삭빠삭 지대로 입니다 꼭 사서 드세요 할인가에 득템했습니다,81,5
맛있게 먹고있어요 감사합니다,15,5
맛있어서 재구매합니다,11,5
카레라이스에 하나씩 올려 먹으면 맛있어요,22,5
바삭하고 너무 맛남,10,4
기름 뿌릴 필요없이 냉동실에서 꺼내서 바로 에어프라이기 13분이면 돈가스 됩니다 돈가스 소스 별거 없어요 집에 캐찹1 마요1 버터각설탕크기 굴소스1 설탕05 식초 카레가루 살짝넣고 포그르르 한번 끓였는데 맛있네요,118,5
너무 맛이 쓰고 튀김옷이 거의 반이상이어서 대충 먹다 버렸어요 기름이 오래된 것이었나 봐요 지금까지 서너번 구매했는데 다 만족스러웠는데 이건 좀 아니네요 지금까지 운이 좋았던 것인지 흠튀김옷이 두꺼워서인지 이번엔 고기 맛도 안 느껴지고 쓰기는 먹을 수 없을 정도로 쓰고 암튼 일정한 품질 관리 유지 필요해 보입니다,175,1
